Format Version,1.23,Take Name,Alza_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2022-12-02 12.25.22.852 PM,Capture Start Frame,2634524,Total Frames in Take,10514,Total Exported Frames,10514,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Cup:Marker1,Cup:Marker1,Cup:Marker1,Cup:Marker2,Cup:Marker2,Cup:Marker2,Cup:Marker3,Cup:Marker3,Cup:Marker3,Cup:Marker4,Cup:Marker4,Cup:Marker4,Cup:Marker5,Cup:Marker5,Cup:Marker5,Cup:Marker6,Cup:Marker6,Cup:Marker6
,ID,"DDD70","DDD70","DDD70","DDD90","DDD90","DDD90","DDD60","DDD60","DDD60","DDD80","DDD80","DDD80","DE540","DE540","DE540","DDD50","DDD50","DDD50"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
118,0.327778,0.207301,0.139977,0.053152,0.138538,0.142457,0.053394,0.230536,0.139301,0.171795,0.141990,0.145184,0.179651,0.228675,0.136845,0.099305,0.243093,0.137749,0.131045
119,0.330556,,,,,,,,,,,,,,,,,,
120,0.333333,0.207289,0.139985,0.053165,0.138560,0.142437,0.053386,0.230519,0.139302,0.171817,0.142005,0.145183,0.179659,0.228646,0.136866,0.099328,0.243080,0.137768,0.131042
121,0.336111,0.207271,0.139988,0.053164,0.137392,0.143838,0.054002,0.230506,0.139312,0.171801,0.141988,0.145181,0.179652,0.228657,0.136878,0.099334,0.243067,0.137776,0.131061
122,0.338889,,,,,,,,,,,,,,,,,,
123,0.341667,0.207269,0.140006,0.053170,0.138569,0.142462,0.053401,0.230524,0.139326,0.171793,0.141987,0.145169,0.179662,0.228682,0.136858,0.099312,0.243072,0.137804,0.131058
124,0.344444,0.207269,0.140006,0.053181,0.138558,0.142431,0.053404,0.230526,0.139337,0.171809,0.142004,0.145179,0.179667,0.228655,0.136877,0.099335,0.243077,0.137791,0.131061
125,0.347222,,,,,,,,,,,,,,,,,,
126,0.350000,0.207280,0.140025,0.053154,0.138564,0.142444,0.053398,0.230506,0.139337,0.171811,0.141997,0.145172,0.179687,0.228678,0.136840,0.099314,0.243057,0.137795,0.131046
127,0.352778,0.207289,0.140031,0.053173,0.138563,0.142416,0.053398,0.230504,0.139352,0.171803,0.141992,0.145169,0.179675,0.228663,0.136879,0.099323,0.243060,0.137805,0.131069
128,0.355556,,,,,,,,,,,,,,,,,,
129,0.358333,0.207275,0.140009,0.053163,0.138562,0.142443,0.053411,0.230508,0.139331,0.171788,0.142006,0.145170,0.179674,0.228633,0.136899,0.099334,0.243071,0.137788,0.131055
130,0.361111,,,,,,,,,,,,,,,,,,
131,0.363889,,,,,,,,,,,,,,,,,,
132,0.366667,0.207299,0.140003,0.053138,0.138547,0.142434,0.053422,0.230528,0.139301,0.171813,0.141998,0.145161,0.179689,0.228615,0.136905,0.099345,0.243072,0.137773,0.131062
133,0.369444,0.206435,0.137631,0.052987,0.138546,0.142433,0.053421,0.230532,0.139303,0.171803,0.142000,0.145159,0.179682,0.228660,0.136877,0.099320,0.243095,0.137764,0.131047
134,0.372222,,,,,,,,,,,,,,,,,,
135,0.375000,0.206160,0.138175,0.053232,0.138551,0.142442,0.053416,0.230556,0.139288,0.171823,0.141996,0.145145,0.179694,0.228614,0.136889,0.099336,0.243087,0.137755,0.131045
136,0.377778,0.207301,0.139969,0.053141,0.138544,0.142440,0.053393,0.230549,0.139286,0.171808,0.141986,0.145177,0.179681,0.228636,0.136879,0.099334,0.243098,0.137747,0.131049
137,0.380556,,,,,,,,,,,,,,,,,,
138,0.383333,0.207304,0.139963,0.053144,0.138555,0.142421,0.053390,0.230558,0.139284,0.171829,0.141996,0.145158,0.179683,0.228616,0.136896,0.099328,0.243074,0.137748,0.131049
139,0.386111,,,,,,,,,,,,,,,,,,
140,0.388889,,,,,,,,,,,,,,,,,,
141,0.391667,0.207298,0.139944,0.053153,0.138557,0.142421,0.053388,0.230569,0.139283,0.171812,0.142011,0.145164,0.179676,0.225111,0.139595,0.103705,0.243106,0.137744,0.131042
142,0.394444,,,,,,,,,,,,,,,,,,
143,0.397222,,,,,,,,,,,,,,,,,,
144,0.400000,0.207294,0.139971,0.053146,0.138573,0.142415,0.053375,0.230550,0.139289,0.171827,0.141994,0.145166,0.179666,0.228660,0.136849,0.099322,0.243091,0.137737,0.131040
145,0.402778,0.207312,0.139976,0.053141,0.138558,0.142415,0.053394,0.230548,0.139272,0.171824,0.142009,0.145169,0.179674,0.228651,0.136869,0.099313,0.243111,0.137742,0.131041
146,0.405556,,,,,,,,,,,,,,,,,,
147,0.408333,0.207300,0.139981,0.053157,0.138568,0.142428,0.053381,0.230563,0.139288,0.171811,0.141999,0.145172,0.179672,0.228632,0.136877,0.099340,0.243093,0.137759,0.131050
148,0.411111,0.207297,0.139990,0.053153,0.138556,0.142428,0.053378,0.230549,0.139289,0.171801,0.142014,0.145162,0.179675,0.228665,0.136842,0.099320,0.243093,0.137767,0.131051
149,0.413889,,,,,,,,,,,,,,,,,,
150,0.416667,0.206451,0.137624,0.052958,0.138542,0.142424,0.053408,0.230532,0.139305,0.171786,0.141996,0.145168,0.179672,0.228642,0.136875,0.099314,0.243073,0.137773,0.131049
151,0.419444,0.207288,0.140004,0.053138,0.138582,0.142421,0.053381,0.230519,0.139317,0.171796,0.142017,0.145157,0.179685,0.228658,0.136872,0.099328,0.243094,0.137769,0.131059
152,0.422222,,,,,,,,,,,,,,,,,,
